#interpro;categorie_libelle;categorie_code;genre_libelle;genre_code;denomination_libelle;denomination_code;mention_libelle;mention_code;lieu_libelle;lieu_code;couleur_libelle;couleur_code;cepage_libelle;cepage_code;departements;douane_code;douane_libelle;douane_taxe;douane_date;douane_noeud;cvo_taxe;cvo_date;cvo_noeud;repli_entree;repli_sorti;declassement_entree;declassement_sorti;densite;labels;code_produit;code_produit_noeud;code_analytique;code_comptable_noeud;code_douane;code_douane_noeud;alias_produit;format_libelle;format_libelle_noeud;cepages autorises;hash_produit
declaration;AOP;AOC_INTERLOIRE;;TRANQ;Anjou;ANJ;;;;;Blanc;blanc;;;;1B200;Vins Tranquilles;3.92;;;2.5;;;;;;;;;;;;;1B200;;;%g% %a% %l% %co% %m%;certification;;/declaration/certifications/AOC_INTERLOIRE/genres/TRANQ/appellations/ANJ/mentions/DEFAUT/lieux/DEFAUT/couleurs/blanc/cepages/DEFAUT
declaration;AOP;AOC_INTERLOIRE;;TRANQ;Anjou;ANJ;;;;;Rouge;rouge;Gamay;GAM;;1R203S;Vins Tranquilles;3.92;;;2.5;;;;;;;;;;;;;1R203S;;;%g% %a% %l% %ce% %m%;certification;;/declaration/certifications/AOC_INTERLOIRE/genres/TRANQ/appellations/ANJ/mentions/DEFAUT/lieux/DEFAUT/couleurs/rouge/cepages/GAM
declaration;AOP;AOC_INTERLOIRE;;TRANQ;Anjou;ANJ;;;;;Rouge;rouge;;;;1R200S;Vins Tranquilles;3.92;;;2.5;;;;;;;;;;;;;1R200S;;;%g% %a% %l% %co% %m%;certification;;/declaration/certifications/AOC_INTERLOIRE/genres/TRANQ/appellations/ANJ/mentions/DEFAUT/lieux/DEFAUT/couleurs/rouge/cepages/DEFAUT
declaration;AOP;AOC_INTERLOIRE;;TRANQ;Anjou;ANJ;Primeur;PRI;;;Rouge;rouge;Gamay;GAM;;1R203S01;Vins Tranquilles;3.92;;;2.5;;;;;;;;;;;;;1R203S01;;;%g% %a% %l% %ce% %m%;certification;;/declaration/certifications/AOC_INTERLOIRE/genres/TRANQ/appellations/ANJ/mentions/PRI/lieux/DEFAUT/couleurs/rouge/cepages/GAM
declaration;AOP;AOC_INTERLOIRE;;TRANQ;Anjou-Villages;AJV;;;;;Rouge;rouge;;;;1R204S;Vins Tranquilles;3.92;;;2.5;;;;;;;;;;;;;1R204S;;;%g% %a% %l% %m%;certification;;/declaration/certifications/AOC_INTERLOIRE/genres/TRANQ/appellations/AJV/mentions/DEFAUT/lieux/DEFAUT/couleurs/rouge/cepages/DEFAUT
declaration;AOP;AOC_INTERLOIRE;;TRANQ;Anjou-Villages Brissac;AJVBRI;;;;;Rouge;rouge;;;;1R217S;Vins Tranquilles;3.92;;;2.5;;;;;;;;;;;;;1R217S;;;%g% %a% %l% %m%;certification;;/declaration/certifications/AOC_INTERLOIRE/genres/TRANQ/appellations/AJVBRI/mentions/DEFAUT/lieux/DEFAUT/couleurs/rouge/cepages/DEFAUT
declaration;AOP;AOC_INTERLOIRE;;TRANQ;Bonnezeaux;BON;;;;;Blanc;blanc;;CHE;;1B210L;Vins Tranquilles;3.92;;;2.5;;;;;;;;;;;;;1B210L;;;%g% %a% %l% %m%;certification;;/declaration/certifications/AOC_INTERLOIRE/genres/TRANQ/appellations/BON/mentions/DEFAUT/lieux/DEFAUT/couleurs/blanc/cepages/CHE
declaration;AOP;AOC_INTERLOIRE;;TRANQ;Cabernet d'Anjou;CAJ;;;;;Rosé;rose;;;;1S201D;Vins Tranquilles;3.92;;;2.5;;;;;;;;;;;;;1S201D;;;%g% %a% %l% %m%;certification;;/declaration/certifications/AOC_INTERLOIRE/genres/TRANQ/appellations/CAJ/mentions/DEFAUT/lieux/DEFAUT/couleurs/rose/cepages/DEFAUT
declaration;AOP;AOC_INTERLOIRE;;TRANQ;Coteaux de l'Aubance;COB;;;;;Blanc;blanc;Chenin;CHE;;1B211L;Vins Tranquilles;3.92;;;2.5;;;;;;;;;;;;;1B211L;;;%g% %a% %l% %m%;certification;;/declaration/certifications/AOC_INTERLOIRE/genres/TRANQ/appellations/COB/mentions/DEFAUT/lieux/DEFAUT/couleurs/blanc/cepages/CHE
declaration;AOP;AOC_INTERLOIRE;;TRANQ;Coteaux de l'Aubance;COB;SGN;SGN;;;Blanc;blanc;Chenin;CHE;;1B211L01;Vins Tranquilles;3.92;;;2.5;;;;;;;;;;;;;1B211L01;;;%g% %a% %l% %m%;certification;;/declaration/certifications/AOC_INTERLOIRE/genres/TRANQ/appellations/COB/mentions/SGN/lieux/DEFAUT/couleurs/blanc/cepages/CHE
